"Date","Team","Opponent","Minutes","Assists","AssistPoints","2ptAssists","3ptAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"2017-11-11","GSW","PHI","29:54",9,20,7,2,5,1,1,0,2
"2017-11-08","GSW","MIN","29:48",8,19,5,3,4,0,1,0,3
"2017-11-06","GSW","MIA","33:53",4,10,2,2,2,0,0,0,2
"2017-11-04","GSW","DEN","29:39",11,25,8,3,7,0,1,0,3
"2017-11-02","GSW","SAS","31:51",5,14,1,4,1,0,0,3,1
"2017-10-30","GSW","LAC","29:54",6,13,5,1,4,1,0,0,1
"2017-10-29","GSW","DET","35:27",8,16,8,0,6,1,1,0,0
"2017-10-27","GSW","WAS","36:12",8,17,7,1,6,0,1,0,1
"2017-10-25","GSW","TOR","37:31",5,13,2,3,1,0,1,1,2
"2017-10-23","GSW","DAL","31:09",8,20,4,4,4,0,0,0,4
"2017-10-21","GSW","MEM","30:05",3,7,2,1,1,1,0,0,1
"2017-10-20","GSW","NOP","35:09",8,20,4,4,3,0,1,0,4
"2017-10-17","GSW","HOU","29:33",4,11,1,3,1,0,0,0,3
"2019-04-09","GSW","NOP","09:25",1,2,1,0,1,0,0,0,0
"2019-04-07","GSW","LAC","29:35",4,10,2,2,2,0,0,0,2
"2019-04-05","GSW","CLE","36:06",7,18,3,4,2,1,0,2,2
"2019-04-04","GSW","LAL","29:29",7,18,3,4,3,0,0,2,2
"2019-04-02","GSW","DEN","30:14",5,12,3,2,1,1,1,2,0
"2019-03-31","GSW","CHA","27:28",6,16,2,4,0,1,1,1,3
"2019-03-29","GSW","MIN","41:55",5,12,3,2,1,1,1,0,2
"2019-03-27","GSW","MEM","33:23",7,15,6,1,4,0,2,1,0
"2019-03-24","GSW","DET","35:26",3,6,3,0,1,2,0,0,0
"2019-03-21","GSW","IND","29:28",7,17,4,3,3,0,1,0,3
"2019-03-19","GSW","MIN","32:35",5,10,5,0,3,2,0,0,0
"2019-03-18","GSW","SAS","37:15",8,18,6,2,6,0,0,0,2
"2019-03-16","GSW","OKC","33:06",3,7,2,1,1,0,1,0,1
"2019-03-13","GSW","HOU","35:21",5,11,4,1,2,1,1,1,0
"2019-03-10","GSW","PHX","34:56",8,18,6,2,2,2,2,0,2
"2019-03-08","GSW","DEN","34:22",4,12,0,4,0,0,0,2,2
"2019-03-05","GSW","BOS","30:51",4,8,4,0,3,1,0,0,0
"2019-03-02","GSW","PHI","35:56",2,4,2,0,1,1,0,0,0
"2019-02-28","GSW","ORL","37:23",6,14,4,2,3,1,0,2,0
"2019-02-27","GSW","MIA","34:23",4,10,2,2,0,2,0,0,2
"2019-02-25","GSW","CHA","35:03",6,14,4,2,3,1,0,1,1
"2019-02-23","GSW","HOU","35:42",7,16,5,2,2,2,1,1,1
"2019-02-21","GSW","SAC","36:14",7,16,5,2,4,0,1,0,2
"2019-02-13","GSW","POR","32:37",2,5,1,1,0,1,0,0,1
"2019-02-12","GSW","UTA","36:10",4,9,3,1,2,0,1,1,0
"2019-02-10","GSW","MIA","36:26",2,5,1,1,1,0,0,0,1
"2019-02-08","GSW","PHX","35:33",7,16,5,2,5,0,0,0,2
"2019-02-06","GSW","SAS","28:36",7,15,6,1,4,2,0,1,0
"2019-02-02","GSW","LAL","32:51",2,5,1,1,1,0,0,0,1
"2019-01-31","GSW","PHI","38:12",6,12,6,0,5,1,0,0,0
"2019-01-28","GSW","IND","26:49",3,7,2,1,1,0,1,0,1
"2019-01-26","GSW","BOS","38:04",3,6,3,0,3,0,0,0,0
"2019-01-24","GSW","WAS","35:28",3,6,3,0,1,1,1,0,0
"2019-01-21","GSW","LAL","30:08",12,30,6,6,4,1,1,2,4
"2019-01-18","GSW","LAC","33:03",4,8,4,0,2,0,2,0,0
"2019-01-16","GSW","NOP","35:08",3,8,1,2,1,0,0,1,1
"2019-01-15","GSW","DEN","29:42",4,9,3,1,3,0,0,1,0
"2019-01-13","GSW","DAL","36:52",5,12,3,2,2,1,0,1,1
"2019-01-11","GSW","CHI","27:12",8,21,3,5,2,1,0,1,4
"2019-01-08","GSW","NYK","31:58",14,35,7,7,4,1,2,1,6
"2019-01-05","GSW","SAC","38:29",2,4,2,0,2,0,0,0,0
"2019-01-03","GSW","HOU","40:14",6,15,3,3,1,1,1,1,2
"2018-12-31","GSW","PHX","31:53",4,8,4,0,3,1,0,0,0
"2018-12-29","GSW","POR","36:11",8,19,5,3,3,2,0,0,3
"2018-12-27","GSW","POR","41:38",7,17,4,3,4,0,0,1,2
"2018-12-25","GSW","LAL","36:48",5,11,4,1,3,0,1,1,0
"2018-12-23","GSW","LAC","35:39",2,4,2,0,2,0,0,0,0
"2018-12-22","GSW","DAL","39:29",5,11,4,1,1,0,3,0,1
"2018-12-19","GSW","UTA","37:00",3,7,2,1,2,0,0,0,1
"2018-12-17","GSW","MEM","35:02",1,3,0,1,0,0,0,0,1
"2018-12-14","GSW","SAC","36:00",6,13,5,1,3,2,0,1,0
"2018-12-12","GSW","TOR","32:32",3,8,1,2,0,0,1,1,1
"2018-12-10","GSW","MIN","35:45",6,15,3,3,1,1,1,0,3
"2018-12-07","GSW","MIL","35:37",8,21,3,5,2,0,1,2,3
"2018-12-05","GSW","CLE","33:47",7,16,5,2,4,1,0,0,2
"2018-12-03","GSW","ATL","29:06",2,4,2,0,1,0,1,0,0
"2018-12-01","GSW","DET","36:30",3,6,3,0,1,1,1,0,0
"2018-11-08","GSW","MIL","26:06",6,15,3,3,1,1,1,1,2
"2018-11-05","GSW","MEM","32:04",7,18,3,4,2,0,1,1,3
"2018-11-02","GSW","MIN","35:28",7,16,5,2,4,1,0,1,1
"2018-10-31","GSW","NOP","36:54",9,21,6,3,5,1,0,1,2
"2018-10-29","GSW","CHI","24:50",5,14,1,4,0,0,1,2,2
"2018-10-28","GSW","BKN","36:16",3,6,3,0,0,1,2,0,0
"2018-10-26","GSW","NYK","33:24",2,5,1,1,0,0,1,0,1
"2018-10-24","GSW","WAS","31:35",3,7,2,1,0,1,1,0,1
"2018-10-22","GSW","PHX","29:40",8,18,6,2,5,0,1,1,1
"2018-10-21","GSW","DEN","39:14",6,12,6,0,3,2,1,0,0
"2018-10-19","GSW","UTA","37:08",8,18,6,2,5,1,0,1,1
"2018-10-16","GSW","OKC","36:37",9,18,9,0,6,3,0,0,0
"2014-04-14","GSW","MIN","41:57",15,33,12,3,8,2,2,3,0
"2014-04-13","GSW","POR","45:26",5,14,1,4,1,0,0,0,4
"2014-04-11","GSW","LAL","34:44",12,27,9,3,5,2,2,3,0
"2014-04-10","GSW","DEN","33:32",6,13,5,1,2,2,1,0,1
"2014-04-06","GSW","UTA","29:27",16,38,10,6,7,1,2,3,3
"2014-04-04","GSW","SAC","28:33",5,10,5,0,4,1,0,0,0
"2014-04-02","GSW","SAS","30:43",10,23,7,3,3,1,3,0,3
"2014-04-01","GSW","DAL","43:07",10,24,6,4,5,1,0,1,3
"2014-03-30","GSW","NYK","40:46",1,3,0,1,0,0,0,0,1
"2014-03-28","GSW","MEM","38:04",8,17,7,1,4,2,1,0,1
"2014-03-22","GSW","SAS","39:25",6,13,5,1,4,1,0,1,0
"2014-03-20","GSW","MIL","38:04",10,21,9,1,3,4,2,1,0
"2014-03-18","GSW","ORL","31:46",5,10,5,0,4,1,0,0,0
"2014-03-16","GSW","POR","40:08",5,12,3,2,2,0,1,0,2
"2014-03-14","GSW","CLE","36:01",8,16,8,0,7,1,0,0,0
"2014-03-12","GSW","LAC","29:18",11,22,11,0,7,4,0,0,0
"2014-03-11","GSW","DAL","22:17",4,8,4,0,3,0,1,0,0
"2014-03-09","GSW","PHX","30:16",9,20,7,2,5,1,1,1,1
"2014-03-07","GSW","ATL","30:03",7,15,6,1,4,1,1,0,1
"2014-03-05","GSW","BOS","21:51",4,8,4,0,4,0,0,0,0
"2014-03-04","GSW","IND","32:00",6,13,5,1,2,2,1,0,1
"2016-01-16","GSW","DET","36:55",5,11,4,1,0,1,3,0,1
"2016-01-14","GSW","LAL","29:31",3,6,3,0,3,0,0,0,0
"2016-01-13","GSW","DEN","39:49",9,19,8,1,3,3,2,1,0
"2016-01-11","GSW","MIA","37:34",6,12,6,0,6,0,0,0,0
"2016-01-09","GSW","SAC","37:54",11,26,7,4,5,2,0,0,4
"2016-01-08","GSW","POR","28:50",9,22,5,4,4,0,1,1,3
"2016-01-05","GSW","LAL","26:08",6,14,4,2,3,0,1,0,2
"2016-01-04","GSW","CHA","31:51",4,9,3,1,1,1,1,0,1
"2016-01-02","GSW","DEN","14:23",4,9,3,1,3,0,0,0,1
"2015-12-28","GSW","SAC","30:22",10,26,4,6,2,1,1,1,5
"2015-12-25","GSW","CLE","36:35",7,17,4,3,3,1,0,0,3
"2015-12-23","GSW","UTA","34:13",9,19,8,1,7,0,1,1,0
"2015-12-18","GSW","MIL","39:20",9,21,6,3,6,0,0,1,2
"2015-12-16","GSW","PHX","29:35",7,20,1,6,1,0,0,1,5
"2015-12-12","GSW","MIL","35:14",5,12,3,2,3,0,0,1,1
"2015-12-11","GSW","BOS","46:55",8,17,7,1,5,2,0,0,1
"2015-12-08","GSW","IND","35:39",10,24,6,4,6,0,0,1,3
"2015-12-06","GSW","BKN","32:14",2,5,1,1,1,0,0,0,1
"2015-12-05","GSW","TOR","37:51",7,17,4,3,2,1,1,1,2
"2015-12-02","GSW","CHA","30:49",5,12,3,2,3,0,0,1,1
"2015-11-30","GSW","UTA","37:16",5,12,3,2,3,0,0,1,1
"2015-11-28","GSW","SAC","29:48",6,16,2,4,0,1,1,1,3
"2015-11-27","GSW","PHX","30:39",8,20,4,4,2,1,1,2,2
"2015-11-24","GSW","LAL","30:10",9,22,5,4,5,0,0,0,4
"2015-11-22","GSW","DEN","27:37",7,17,4,3,2,2,0,1,2
"2015-11-20","GSW","CHI","36:05",4,10,2,2,1,0,1,0,2
"2015-11-19","GSW","LAC","36:46",4,10,2,2,0,0,2,0,2
"2015-11-17","GSW","TOR","39:35",9,18,9,0,5,3,1,0,0
"2015-11-14","GSW","BKN","43:45",6,15,3,3,2,0,1,2,1
"2015-11-12","GSW","MIN","37:42",4,8,4,0,2,1,1,0,0
"2015-11-11","GSW","MEM","34:30",5,11,4,1,2,1,1,1,0
"2015-11-09","GSW","DET","36:50",5,11,4,1,3,0,1,1,0
"2015-11-07","GSW","SAC","39:08",3,7,2,1,2,0,0,0,1
"2015-11-06","GSW","DEN","34:39",10,23,7,3,5,1,1,2,1
"2015-11-04","GSW","LAC","32:39",4,8,4,0,3,1,0,0,0
"2015-11-02","GSW","MEM","28:24",3,7,2,1,2,0,0,0,1
"2015-10-31","GSW","NOP","35:38",9,23,4,5,3,1,0,0,5
"2015-10-30","GSW","HOU","27:24",6,13,5,1,4,0,1,1,0
"2015-10-27","GSW","NOP","35:37",7,14,7,0,5,1,1,0,0
"2017-04-12","GSW","LAL","28:28",8,18,6,2,4,0,2,0,2
"2017-04-10","GSW","UTA","29:57",4,8,4,0,3,0,1,0,0
"2017-04-05","GSW","PHX","35:12",11,25,8,3,8,0,0,0,3
"2017-04-04","GSW","MIN","29:53",9,22,5,4,5,0,0,2,2
"2017-04-02","GSW","WAS","35:34",8,18,6,2,4,1,1,0,2
"2017-03-31","GSW","HOU","34:46",5,11,4,1,4,0,0,0,1
"2017-03-29","GSW","SAS","35:08",11,25,8,3,4,1,3,2,1
"2017-03-28","GSW","HOU","33:26",7,17,4,3,3,1,0,2,1
"2017-03-26","GSW","MEM","36:19",11,26,7,4,4,1,2,2,2
"2017-03-24","GSW","SAC","33:14",12,26,10,2,10,0,0,1,1
"2017-03-21","GSW","DAL","29:45",9,23,4,5,4,0,0,4,1
"2017-03-20","GSW","OKC","29:53",6,15,3,3,3,0,0,1,2
"2017-03-18","GSW","MIL","30:17",4,10,2,2,1,1,0,2,0
"2017-03-16","GSW","ORL","28:07",9,20,7,2,6,1,0,0,2
"2017-03-14","GSW","PHI","37:25",5,12,3,2,2,0,1,0,2
"2017-03-10","GSW","MIN","35:18",7,15,6,1,6,0,0,0,1
"2017-03-08","GSW","BOS","35:20",6,14,4,2,2,1,1,0,2
"2017-03-06","GSW","ATL","34:31",9,23,4,5,3,0,1,4,1
"2017-03-05","GSW","NYK","36:51",6,15,3,3,2,1,0,1,2
"2017-03-02","GSW","CHI","35:28",5,12,3,2,3,0,0,1,1
"2017-02-28","GSW","WAS","34:14",4,8,4,0,2,2,0,0,0
"2017-02-27","GSW","PHI","34:48",6,12,6,0,6,0,0,0,0
"2017-02-25","GSW","BKN","34:55",5,12,3,2,3,0,0,0,2
"2017-02-23","GSW","LAC","32:11",5,11,4,1,2,0,2,0,1
"2017-02-15","GSW","SAC","30:03",9,21,6,3,5,1,0,2,1
"2017-02-13","GSW","DEN","26:42",5,11,4,1,4,0,0,0,1
"2017-02-11","GSW","OKC","33:54",9,21,6,3,4,0,2,1,2
"2017-02-10","GSW","MEM","34:52",5,12,3,2,3,0,0,1,1
"2017-02-08","GSW","CHI","28:12",6,14,4,2,3,1,0,2,0
"2017-02-04","GSW","SAC","41:45",9,22,5,4,5,0,0,1,3
"2017-02-02","GSW","LAC","37:26",11,25,8,3,4,1,3,2,1
"2017-02-01","GSW","CHA","30:16",8,18,6,2,3,1,2,1,1
"2017-01-28","GSW","LAC","28:57",6,13,5,1,3,0,2,0,1
"2017-01-25","GSW","CHA","36:16",7,16,5,2,3,0,2,0,2
"2017-01-23","GSW","MIA","36:31",8,18,6,2,5,0,1,0,2
"2017-01-22","GSW","ORL","29:33",6,13,5,1,4,1,0,0,1
"2017-01-20","GSW","HOU","32:57",7,16,5,2,5,0,0,0,2
"2017-01-18","GSW","OKC","34:11",8,20,4,4,3,1,0,1,3
"2017-01-16","GSW","CLE","30:55",11,26,7,4,5,0,2,2,2
"2017-01-12","GSW","DET","29:51",7,20,1,6,1,0,0,2,4
"2017-01-10","GSW","MIA","35:43",9,20,7,2,5,1,1,1,1
"2017-01-08","GSW","SAC","37:06",6,14,4,2,4,0,0,0,2
"2017-01-06","GSW","MEM","42:13",6,13,5,1,2,3,0,0,1
"2017-01-04","GSW","POR","35:55",5,13,2,3,2,0,0,2,1
"2017-01-02","GSW","DEN","35:03",5,11,4,1,4,0,0,0,1
"2016-12-30","GSW","DAL","30:09",5,11,4,1,3,0,1,0,1
"2016-12-28","GSW","TOR","36:19",7,18,3,4,1,1,1,0,4
"2016-12-25","GSW","CLE","37:20",3,8,1,2,1,0,0,2,0
"2016-12-23","GSW","DET","35:00",8,20,4,4,3,0,1,0,4
"2016-12-22","GSW","BKN","32:58",7,15,6,1,5,0,1,0,1
"2016-12-20","GSW","UTA","30:13",4,9,3,1,1,2,0,0,1
"2016-12-17","GSW","POR","27:14",6,13,5,1,2,1,2,0,1
"2016-12-15","GSW","NYK","33:50",8,19,5,3,3,1,1,1,2
"2016-12-13","GSW","NOP","34:07",7,16,5,2,4,0,1,0,2
"2016-12-11","GSW","MIN","31:35",9,23,4,5,3,0,1,0,5
"2016-12-10","GSW","MEM","30:35",3,6,3,0,1,1,1,0,0
"2016-12-08","GSW","UTA","35:34",2,6,0,2,0,0,0,1,1
"2016-12-07","GSW","LAC","33:17",6,13,5,1,4,1,0,0,1
"2016-12-05","GSW","IND","29:10",11,24,9,2,8,0,1,0,2
"2016-12-03","GSW","PHX","29:51",1,2,1,0,1,0,0,0,0
"2016-12-01","GSW","HOU","38:23",5,11,4,1,4,0,0,0,1
"2016-11-28","GSW","ATL","38:14",3,7,2,1,0,2,0,0,1
"2016-11-26","GSW","MIN","37:09",6,14,4,2,3,1,0,0,2
"2016-11-25","GSW","LAL","35:36",5,10,5,0,3,1,1,0,0
"2016-11-23","GSW","LAL","28:44",9,21,6,3,2,1,3,1,2
"2016-11-21","GSW","IND","29:30",6,15,3,3,3,0,0,1,2
"2016-11-19","GSW","MIL","34:42",5,13,2,3,2,0,0,1,2
"2016-11-18","GSW","BOS","36:18",8,19,5,3,3,0,2,0,3
"2016-11-16","GSW","TOR","37:22",7,15,6,1,5,1,0,0,1
"2016-11-13","GSW","PHX","36:47",6,14,4,2,2,1,1,0,2
"2016-11-10","GSW","DEN","29:56",6,13,5,1,4,1,0,0,1
"2016-11-09","GSW","DAL","30:50",6,14,4,2,2,0,2,2,0
"2016-11-07","GSW","NOP","35:39",5,11,4,1,2,1,1,1,0
"2016-11-04","GSW","LAL","31:06",10,22,8,2,8,0,0,0,2
"2016-11-03","GSW","OKC","30:03",7,17,4,3,3,0,1,0,3
"2016-11-01","GSW","POR","29:29",3,6,3,0,2,0,1,0,0
"2016-10-30","GSW","PHX","34:13",3,6,3,0,2,0,1,0,0
"2016-10-28","GSW","NOP","34:04",8,17,7,1,6,0,1,0,1
"2016-10-25","GSW","SAS","34:06",4,8,4,0,3,1,0,0,0